,Dataset,Method,Classifier,ConformalPredictor,Top1,Top5,alpha,use_platt_scaling,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_alpha,predicted_tau,predicted_coverage,predicted_size,on_classes_of,raps_kreg,raps_lambda,shift_type
97,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,,0.99699467420578,0.567,24.747,,-1.0,0.0,ImageNet
98,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,,0.9932061433792114,0.504,13.116,,-1.0,0.0,ImageNet
99,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,,0.9982356325285128,0.611,37.046,,-1.0,0.0,ImageNet
100,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,,0.976438045501709,0.414,4.956,,-1.0,0.0,ImageNet
101,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,0.0134399998933076,0.9996729120035904,0.749,115.597,,-1.0,0.0,ImageNet
102,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,0.016545832157135,0.9994854312726202,0.712,87.162,,-1.0,0.0,ImageNet
103,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.15,,0.8901132412433845,0.307,1.513,0.999916877779292,,0.988976001739502,0.469,8.975,,,,ImageNet
104,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,,0.9944009780883788,0.519,15.258,,-1.0,0.0,ImageNet
105,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,,0.9930370450019836,0.502,12.863,,-1.0,0.0,ImageNet
106,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,,0.986260175704956,0.453,7.554,,-1.0,0.0,ImageNet
107,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,,0.9913552400188445,0.486,10.865,,-1.0,0.0,ImageNet
108,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,,0.95915424823761,0.376,3.231,,-1.0,0.0,ImageNet
109,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,0.0203399993479251,0.9992112061349768,0.678,65.68,,-1.0,0.0,ImageNet
110,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.2,False,0.7703218605833052,0.252,0.842,0.9998294683782464,0.0231876969337463,0.9989371197112986,0.655,53.466,,-1.0,0.0,ImageNet
111,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.2,,0.7702666071474551,0.252,0.842,0.9998294486282993,,0.9719192981719972,0.402,4.323,,,,ImageNet
112,ImageNet-R,ACR,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,,0.9984186887741088,0.544,38.781,,-1.0,0.0,ImageNet
113,ImageNet-R,CHR,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,,1.0004647970199585,1.0,1000.0,,-1.0,0.0,ImageNet
114,ImageNet-R,CHR-,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,,0.9993880987167358,0.612,73.828,,-1.0,0.0,ImageNet
115,ImageNet-R,DCR,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,,1.8126420842985569,1.0,1000.0,,-1.0,0.0,ImageNet
116,ImageNet-R,PCR,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,,0.9584139585494996,0.339,3.263,,-1.0,0.0,ImageNet
117,ImageNet-R,QTC,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,0.0006600000197067,0.9999998162047348,0.987,874.907,,-1.0,0.0,ImageNet
118,ImageNet-R,QTC-SC,resnet50,TPS,0.237,0.366,0.01,False,0.999823020635074,0.705,154.829,0.999999893797456,0.0004666447639465,0.9999998834124,0.99,894.51,,-1.0,0.0,ImageNet
119,ImageNet-R,QTC-ST,resnet50,TCP,0.237,0.366,0.01,,0.999823006067728,0.705,154.822,0.9999998937941312,,0.9997000098228456,0.664,114.755,,,,ImageNet
120,ImageNet-R,ACR,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,,0.9993741512298584,0.61,72.752,,-1.0,0.0,ImageNet
121,ImageNet-R,CHR,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,,0.9992800951004028,0.6,66.412,,-1.0,0.0,ImageNet
122,ImageNet-R,CHR-,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,,1.0024573802947998,1.0,1000.0,,-1.0,0.0,ImageNet
123,ImageNet-R,DCR,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,,1.0001020396568965,1.0,1000.0,,-1.0,0.0,ImageNet
124,ImageNet-R,PCR,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,,0.9896121025085448,0.421,9.556,,-1.0,0.0,ImageNet
125,ImageNet-R,QTC,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,0.00179999996908,0.999996586843025,0.935,639.323,,-1.0,0.0,ImageNet
126,ImageNet-R,QTC-SC,resnet50,TPS,0.237,0.366,0.025,False,0.9987417373315584,0.56,45.521,0.9999994231570778,0.0012333393096923,0.9999989594468036,0.965,761.514,,-1.0,0.0,ImageNet
127,ImageNet-R,QTC-ST,resnet50,TCP,0.237,0.366,0.025,,0.9987416721289238,0.56,45.521,0.9999994232783688,,0.9997000098228456,0.664,114.755,,,,ImageNet
128,ImageNet-R,ACR,resnet50,TPS,0.237,0.366,0.05,False,0.99363269250561,0.451,13.892,0.9999980139558916,,0.9989463090896606,0.573,51.44,,-1.0,0.0,ImageNet
129,ImageNet-R,CHR,resnet50,TPS,0.237,0.366,0.05,False,0.99363269250561,0.451,13.892,0.9999980139558916,,1.0001189708709717,1.0,1000.0,,-1.0,0.0,ImageNet
130,ImageNet-R,CHR-,resnet50,TPS,0.237,0.366,0.05,False,0.99363269250561,0.451,13.892,0.9999980139558916,,1.00187885761261,1.0,1000.0,,-1.0,0.0,ImageNet
